step_no,equity,k_coef,k_intercept,c_coef,c_intercept,intresses,losses
1,3005.64,10.0,-10.0,10.0,-10.0,7.0494,0.0
2,3094.8,10.0,-10.0,10.0,-10.0,111.453,0.0
3,3409.26,10.0,-10.0,10.0,-10.0,393.068,0.0
4,3903.5,10.0,-10.0,10.0,-10.0,617.804,0.0
5,4635.86,10.0,-10.0,10.0,-10.0,915.451,0.0
6,5123.83,0.769546,-5.25725,1.11099,-6.62127,905.559,295.592
7,4764.98,1.73446,-4.72255,2.82023,-6.2735,809.044,1167.89
8,4834.77,2.13196,-4.81036,3.30655,-6.38688,837.93,750.7
9,4899.26,2.70933,-5.03304,3.70334,-6.51163,832.586,751.97
10,4037.47,3.02375,-5.24302,4.47598,-6.80492,784.8,1646.59
11,2628.65,3.48783,-5.48816,5.10881,-7.07704,720.483,2129.31
12,1443.32,3.66357,-5.63468,5.29754,-7.16229,605.331,1790.66
13,1555.25,3.82042,-5.79179,5.25814,-7.15161,570.509,430.594
14,1538.24,3.95651,-5.94833,5.34632,-7.21576,570.43,587.443
15,1480.79,4.09573,-6.09203,5.05279,-7.10258,550.163,607.609
16,1897.35,4.32723,-6.2884,4.09506,-6.71617,577.642,56.9489
17,2267.53,4.4392,-6.42309,2.87407,-6.33791,607.307,144.574
18,2493.74,4.6454,-6.58691,2.76416,-6.32788,610.467,327.715
19,2912.02,4.91712,-6.80638,2.2824,-6.257,639.493,116.636
20,3200.22,5.15229,-6.99422,1.8957,-6.23159,652.386,292.135
21,3568.77,5.25204,-7.11005,1.87002,-6.22102,655.377,194.692
22,3916.29,5.2944,-7.18576,1.85519,-6.21677,659.376,224.981
23,4117.54,5.37877,-7.24429,1.96134,-6.16373,655.71,404.149
24,3489.03,5.65534,-7.40076,2.77122,-6.28034,619.015,1247.53
25,3984.27,5.72047,-7.42883,2.48102,-6.21172,621.867,2.8105
26,4454.23,5.75731,-7.44219,2.35556,-6.19723,616.076,28.6228
27,4931.48,5.74161,-7.49696,2.21306,-6.18094,604.003,7.442
28,5192.05,5.78755,-7.52072,1.91262,-6.20127,593.581,267.871
29,5645.26,5.70939,-7.48636,0.35984,-7.12058,590.261,23.7503
30,5796.69,5.86151,-7.5704,0.951787,-6.38862,561.448,372.158
31,6028.43,5.66134,-7.46966,1.21508,-6.26544,549.1,259.431
32,5924.14,5.64988,-7.46678,1.85767,-6.12301,538.939,643.222
33,5643.08,5.67558,-7.48088,2.3204,-6.0647,515.643,796.704
34,5402.68,5.65593,-7.46229,2.80554,-6.11276,504.301,744.7
35,5562.32,5.70242,-7.48719,2.68484,-6.06965,483.99,284.443
36,5144.2,5.56574,-7.39099,3.31196,-6.17096,460.465,878.585
37,5331.78,5.64629,-7.42367,3.11189,-6.11082,475.544,241.074
