step_no,K_prod,K_inventory
1,150.0,147.00000286102295
2,0.0,84.93050289154053
3,161.5,135.08593600988388
4,276.0,234.12387189269066
5,243.0,388.6729044318199
6,36.0,382.5395413637161
7,24.0,357.91944792866707
8,11.0,339.5617989450693
9,9.5,324.60988134145737
10,0.5,303.3330028951168
11,10.5,305.9589039683342
12,0.0,295.6640421152115
13,3.0,287.0457730293274
14,0.0,276.5846764445305
15,0.0,270.18741261959076
16,0.0,263.9465766772628
17,0.5,259.1576455235481
18,0.0,252.03575345873833
19,0.0,246.99503967165947
20,0.0,242.05513662099838
21,0.0,237.21403482556343
22,0.0,232.42073330283165
23,0.0,227.77232071757317
24,0.0,222.16248282790184
25,0.0,217.7192327082157
26,0.0,213.36484757065773
27,0.0,209.0975505411625
28,0.0,204.91559982299805
29,0.0,200.8172871172428
30,0.0,196.80094185471535
31,0.0,192.42228922247887
32,0.0,187.49873867630959
33,0.5,184.07407003641129
34,0.0,180.31545796990395
35,0.0,176.70915168523788
36,0.0,171.43998512625694
37,0.5,168.41468289494514
38,0.0,165.04638662934303
39,0.0,161.7454598248005
40,0.0,157.9443548321724
41,0.0,150.43928189575672
42,5.5,144.85330154532858
43,4.5,146.13326832652092
44,0.0,138.990908741951
45,4.0,126.64144471287727
46,1.5,122.34767711162567
47,1.0,119.7342064678669
48,0.0,107.83710491657257
49,4.0,93.96803160011768
50,13.0,95.07770387083292
51,9.5,82.28440612531267
52,37.0,108.40495391190052
53,9.5,87.3873813599348
54,39.5,98.93501046299934
55,37.0,114.83132050931454
56,20.5,99.17865580320358
57,53.0,106.09175004065037
58,73.5,140.5554140508175
59,44.5,130.90697079245
60,59.5,125.62319172918797
61,91.5,168.09116858243942
62,65.0,166.58732610195875
63,91.0,152.27806928008795
64,139.0,222.00960090756416
65,89.0,224.40969596803188
66,102.5,211.0451005101204
67,125.0,274.13429737091064
68,45.0,168.75679367780685
69,155.0,216.57407101616263
70,112.0,223.21920537948608
71,102.5,236.94763434678316
72,103.5,247.6255239546299
73,130.0,272.85187089443207
74,113.5,270.828686773777
75,135.5,287.0313329696655
76,90.5,300.5957797653973
77,75.5,281.63729977607727
78,85.5,269.1899720430374
79,131.5,308.5060969591141
80,112.0,249.85846602916718
81,185.5,274.8774882555008
82,169.0,286.33048540353775
83,169.5,304.1165334582329
84,168.0,320.7094579041004
85,153.5,344.2845799922943
86,102.0,320.448227673769
87,108.0,256.7969334125519
88,185.5,293.2233133018017
89,217.5,367.009348757565
90,88.0,281.31109470129013
91,162.0,266.085954785347
92,186.0,308.76376527547836
93,117.5,307.688005130738
94,121.5,289.5908669233322
95,123.5,246.9944884777069
96,151.5,330.36492178961635
97,75.5,375.4446666240692
98,11.5,238.4731968641281
99,149.0,264.66986882686615
100,156.5,312.2169533967972
101,106.5,323.66230726242065
102,76.0,265.0196475982666
103,130.0,277.5906813144684
104,101.5,272.81215542554855
105,92.5,243.7503877878189
106,105.5,325.19428937137127
107,15.5,259.3396781682968
108,49.5,230.03385396301746
109,59.0,233.05828833580017
110,44.5,202.79014307260513
111,44.5,182.93706288933754
112,41.5,166.64745941013098
113,37.5,166.16564697027206
114,32.5,168.67520534992218
115,23.5,135.94464963674545
116,40.0,120.7649564743042
117,44.5,138.078164935112
118,20.0,103.15514089912176
119,41.5,100.97769464738667
120,30.5,78.7655319571495
121,42.5,86.26374861598015
122,28.0,86.03828775882721
123,20.0,74.47552743554115
124,27.5,68.04541021585464
125,36.5,65.46622037142515
126,41.0,74.71436244249344
127,35.0,100.3702917098999
128,10.5,75.76118102669716
129,36.5,74.84450024366379
130,38.5,77.35762280225754
131,41.5,79.18534409999847
132,42.0,69.09086922556162
133,46.0,64.37843042612076
134,50.5,67.68191128969193
135,46.0,81.27655526995659
136,30.5,65.962830722332
137,38.0,57.77700299024582
138,52.5,60.6847060918808
139,46.0,51.06025432795286
140,54.0,61.650635071098804
141,62.5,71.13586246967316
142,72.5,86.57906013727188
143,79.5,103.87273490428925
144,59.5,92.66417562961578
145,80.0,82.87226245179772
146,92.0,101.17514991760254
147,73.5,66.75898863375187
148,122.0,96.61966697778553
149,98.5,137.25842374563217
150,80.0,121.52064371109009
151,73.0,95.38979363441467
152,69.5,107.4316446185112
153,49.5,108.53413689136505
154,39.5,93.9935190975666
155,42.5,91.11115348339081
156,37.5,88.80293497443199
157,32.5,81.57500302791595
158,28.5,55.004074454307556
159,44.5,56.64671428501606
160,37.5,72.09567207098007
