runid,step_no,capital
iB8xYOSiOINRRhg,1,2089.8557929992676
iB8xYOSiOINRRhg,2,2501.081175804138
iB8xYOSiOINRRhg,3,2991.8447341918945
iB8xYOSiOINRRhg,4,3598.2887144088745
iB8xYOSiOINRRhg,5,4139.162975311279
iB8xYOSiOINRRhg,6,4615.700280189514
iB8xYOSiOINRRhg,7,5031.259590148926
iB8xYOSiOINRRhg,8,5499.0144739151
iB8xYOSiOINRRhg,9,5841.11004447937
iB8xYOSiOINRRhg,10,6244.759104728699
iB8xYOSiOINRRhg,11,6508.070903778076
iB8xYOSiOINRRhg,12,6789.939966678619
iB8xYOSiOINRRhg,13,7142.501071929932
iB8xYOSiOINRRhg,14,7431.743830680847
iB8xYOSiOINRRhg,15,7694.256142139435
iB8xYOSiOINRRhg,16,7973.416770458221
iB8xYOSiOINRRhg,17,8274.86295080185
iB8xYOSiOINRRhg,18,8464.27469921112
iB8xYOSiOINRRhg,19,8710.916664123535
iB8xYOSiOINRRhg,20,8916.543630599976
iB8xYOSiOINRRhg,21,9059.64594745636
iB8xYOSiOINRRhg,22,9328.201603412628
iB8xYOSiOINRRhg,23,9495.552007198334
iB8xYOSiOINRRhg,24,9673.398868560791
iB8xYOSiOINRRhg,25,9801.886505126953
iB8xYOSiOINRRhg,26,9969.398934364319
iB8xYOSiOINRRhg,27,10116.96737575531
iB8xYOSiOINRRhg,28,10276.616726875305
iB8xYOSiOINRRhg,29,10443.0137591362
iB8xYOSiOINRRhg,30,10549.047660827637
iB8xYOSiOINRRhg,31,10659.23786020279
iB8xYOSiOINRRhg,32,10733.787281513214
iB8xYOSiOINRRhg,33,10775.839128017426
iB8xYOSiOINRRhg,34,10849.395634174347
iB8xYOSiOINRRhg,35,10962.586307048798
iB8xYOSiOINRRhg,36,10966.664313316345
iB8xYOSiOINRRhg,37,11084.633303642273
iB8xYOSiOINRRhg,38,11170.425602912903
iB8xYOSiOINRRhg,39,11262.357228279114
iB8xYOSiOINRRhg,40,11268.766347885132
iB8xYOSiOINRRhg,41,11388.078002929688
iB8xYOSiOINRRhg,42,11449.350513458252
iB8xYOSiOINRRhg,43,11528.946027755737
iB8xYOSiOINRRhg,44,11576.085292816162
iB8xYOSiOINRRhg,45,11616.25738620758
iB8xYOSiOINRRhg,46,11634.68008518219
iB8xYOSiOINRRhg,47,11660.99100112915
iB8xYOSiOINRRhg,48,11741.609689712524
iB8xYOSiOINRRhg,49,11769.42626953125
iB8xYOSiOINRRhg,50,11872.456274032593
iB8xYOSiOINRRhg,51,11900.14509010315
iB8xYOSiOINRRhg,52,11974.526456832886
iB8xYOSiOINRRhg,53,11936.209924697876
iB8xYOSiOINRRhg,54,11934.57940864563
iB8xYOSiOINRRhg,55,11945.952480316162
iB8xYOSiOINRRhg,56,11966.108041763306
iB8xYOSiOINRRhg,57,11940.838012695312
iB8xYOSiOINRRhg,58,11945.603624343872
iB8xYOSiOINRRhg,59,11938.952074050903
iB8xYOSiOINRRhg,60,11962.496671676636
iB8xYOSiOINRRhg,61,11970.379077911377
iB8xYOSiOINRRhg,62,11975.408935546875
iB8xYOSiOINRRhg,63,11958.879383087158
iB8xYOSiOINRRhg,64,11921.3098487854
iB8xYOSiOINRRhg,65,11872.496700286865
iB8xYOSiOINRRhg,66,11866.293060302734
iB8xYOSiOINRRhg,67,11855.301891326904
iB8xYOSiOINRRhg,68,11834.60675239563
iB8xYOSiOINRRhg,69,11803.300485610962
iB8xYOSiOINRRhg,70,11758.011552810669
iB8xYOSiOINRRhg,71,11719.722341537476
iB8xYOSiOINRRhg,72,11693.604915618896
iB8xYOSiOINRRhg,73,11657.55525970459
iB8xYOSiOINRRhg,74,11588.772483825684
iB8xYOSiOINRRhg,75,11565.275827407837
iB8xYOSiOINRRhg,76,11547.324146270752
iB8xYOSiOINRRhg,77,11509.61088180542
iB8xYOSiOINRRhg,78,11474.451221466064
iB8xYOSiOINRRhg,79,11445.21194076538
iB8xYOSiOINRRhg,80,11415.144062042236
iB8xYOSiOINRRhg,81,11372.37871170044
iB8xYOSiOINRRhg,82,11340.097702026367
iB8xYOSiOINRRhg,83,11293.253852844238
iB8xYOSiOINRRhg,84,11246.2972946167
iB8xYOSiOINRRhg,85,11214.29914855957
iB8xYOSiOINRRhg,86,11182.045373916626
iB8xYOSiOINRRhg,87,11128.824647903442
iB8xYOSiOINRRhg,88,11072.95846748352
iB8xYOSiOINRRhg,89,11026.641544342041
iB8xYOSiOINRRhg,90,10970.03763961792
