step_no,steps_id,capitalist_id,budget,wealth,human_wealth,spent_amount
1,164347733,B_0,0.6,2.4941,0.523764,0.6
2,630271505,B_0,0.648469,2.72239,0.537884,0.648469
3,8376997,B_0,0.674003,3.65005,0.580435,0.674003
4,670459448,B_0,0.762937,5.16587,0.648368,0.762937
5,578297916,B_0,0.906662,5.74849,0.682004,0.906662
6,71114873,B_0,0.969429,6.36141,0.718018,0.969429
7,223465792,B_0,1.03609,13.6587,1.02263,1.03609
8,835236303,B_0,1.70556,13.5648,1.0462,1.70556
9,97698128,B_0,1.72444,13.2009,1.05877,1.72444
10,283595139,B_0,1.71881,15.2861,1.09982,0.0
11,506439062,B_0,1.86413,13.7066,1.06722,1.86413
12,181691712,B_0,1.75254,12.3179,1.03908,1.75254
13,20184474,B_0,1.65497,11.0547,1.01319,1.65497
14,216665857,B_0,1.56592,9.66792,0.979828,1.56592
15,179193222,B_0,1.46322,11.2847,1.06383,1.46322
16,349685411,B_0,1.62807,9.6566,1.02128,1.62807
17,96269624,B_0,1.50411,8.58714,0.997815,1.50411
18,286542150,B_0,1.42717,7.85273,0.985613,1.42717
19,737781053,B_0,1.37825,10.2951,1.09901,1.37825
20,458045973,B_0,1.61377,15.4518,1.32587,1.61377
21,365291078,B_0,2.09846,13.3533,1.27284,2.09846
22,883591720,B_0,1.9405,12.6565,1.27167,1.9405
23,385464378,B_0,1.9045,13.4049,1.32692,1.9045
24,747954126,B_0,1.99716,11.4077,1.27384,1.99716
25,605648327,B_0,1.84423,10.8911,1.27599,1.84423
26,669452481,B_0,1.82055,9.07055,1.22495,1.82055
27,544805186,B_0,1.67848,9.26951,1.25105,1.67848
28,496805597,B_0,1.71453,7.55498,1.20101,1.71453
29,582802664,B_0,1.57876,6.9918,1.19359,1.57876
30,404260675,B_0,1.54318,7.64571,1.23373,1.54318
31,88175689,B_0,1.61602,6.0297,1.18438,1.61602
32,742367569,B_0,1.48587,5.41163,1.17172,1.48587
33,657089715,B_0,1.4423,4.06094,1.12852,1.4423
34,650039941,B_0,1.33156,2.94795,1.09212,1.33156
35,966507388,B_0,1.23952,1.93418,1.05746,1.23952
36,1878273,B_0,1.15417,1.42127,1.04081,1.15417
37,464149325,B_0,1.11188,0.93594,1.02424,1.11188
38,500694462,B_0,0.93594,0.0,0.983274,0.93594
39,548489785,B_0,0.0,0.303564,0.956086,0.0
40,74622937,B_0,0.303564,0.13318,0.92317,0.303564
41,678201981,B_0,0.13318,0.581721,0.909512,0.13318
42,584357771,B_0,0.581721,0.651669,0.899198,0.581721
43,890582039,B_0,0.651669,0.651911,0.889307,0.651669
44,975706029,B_0,0.651911,0.0586666,0.856081,0.651911
45,202527769,B_0,0.0586666,0.44449,0.839617,0.0586666
46,29207027,B_0,0.44449,0.0912564,0.809683,0.44449
47,26575286,B_0,0.0912564,0.029225,0.778465,0.0912564
48,869934920,B_0,0.029225,0.508972,0.767685,0.029225
49,473576376,B_0,0.508972,0.0,0.736978,0.508972
50,689181861,B_0,0.0,0.50045,0.727516,0.0
51,696978113,B_0,0.50045,0.0125281,0.698917,0.50045
52,541166213,B_0,0.0125281,0.0,0.67096,0.0125281
53,331166318,B_0,0.0,0.53872,0.665671,0.0
54,465449204,B_0,0.53872,0.0,0.639044,0.53872
55,461361887,B_0,0.0,0.0395728,0.615065,0.0
56,775858225,B_0,0.0395728,0.0716347,0.593328,0.0395728
57,487581454,B_0,0.0716347,0.0892839,0.573166,0.0716347
58,207424140,B_0,0.0892839,0.0,0.550239,0.0892839
59,553763104,B_0,0.0,0.00316038,0.528356,0.0
60,625070013,B_0,0.00316038,0.0888754,0.510777,0.00316038
61,566243768,B_0,0.0888754,0.294229,0.502115,0.0888754
62,638652889,B_0,0.294229,0.0984134,0.485967,0.294229
63,509310320,B_0,0.0984134,0.285449,0.477946,0.0984134
64,532636213,B_0,0.285449,0.304826,0.471021,0.285449
65,839118019,B_0,0.304826,0.122296,0.457072,0.304826
66,193591698,B_0,0.122296,0.297603,0.450694,0.122296
67,148035158,B_0,0.297603,0.0,0.432666,0.297603
68,243813093,B_0,0.0,0.0150068,0.41596,0.0
69,644108549,B_0,0.0150068,0.371219,0.41417,0.0150068
70,506145664,B_0,0.371219,0.320656,0.410429,0.371219
71,835527335,B_0,0.320656,0.00433672,0.394186,0.320656
72,946224551,B_0,0.00433672,0.104437,0.382596,0.00433672
73,513186507,B_0,0.104437,0.0201094,0.368096,0.104437
74,119594977,B_0,0.0201094,0.074516,0.356353,0.0201094
75,196615503,B_0,0.074516,0.0125588,0.342601,0.074516
76,787209152,B_0,0.0125588,0.129432,0.334074,0.0125588
77,478445186,B_0,0.129432,0.310893,0.333147,0.129432
78,405136299,B_0,0.310893,0.164215,0.32639,0.310893
79,21901349,B_0,0.164215,0.0,0.313334,0.164215
80,41112659,B_0,0.0,0.275682,0.311828,0.0
81,446159856,B_0,0.275682,0.297741,0.311265,0.275682
82,635303308,B_0,0.297741,0.0,0.298814,0.297741
83,552469879,B_0,0.0,0.304161,0.299028,0.0
84,685752295,B_0,0.304161,0.0389802,0.288626,0.304161
85,586045895,B_0,0.0389802,0.0,0.277081,0.0389802
86,808478227,B_0,0.0,0.0101344,0.266403,0.0
87,865359295,B_0,0.0101344,0.287111,0.267232,0.0101344
88,664987479,B_0,0.281587,0.293264,0.268052,0.281587
89,561602513,B_0,0.282715,0.304221,0.269077,0.282715
90,987641589,B_0,0.284288,0.0199334,0.258314,0.284288
91,375583027,B_0,0.0199334,0.278826,0.259134,0.0199334
92,706419181,B_0,0.273075,0.189609,0.256123,0.273075
93,780668896,B_0,0.189609,0.126436,0.250936,0.189609
94,506344572,B_0,0.126436,0.0,0.240898,0.126436
95,263126294,B_0,0.0,0.0388749,0.232817,0.0
