step_no,step_id,cf_id,liquidity,price,equity,debt,profit,production,sales,queue,expected_demand,intresses,labour_demand,lmbda,loans,staff,first_step,capital,capital_avg,invested,planned_production,planned_investment,wage_bill,investment_cost,capital_book,desired_capital
1,164347733,C_0,-0.764536,5.46276,27.3144,8.57054,5.30158,3.0,0.0651683,0.0,3.5,0.211171,0.66,0.130707,"[{""amount"": 8.570540540540545, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1761"", ""W_68"", ""W_2587"", ""W_1754"", ""W_2783""]",0,14.8288,12.5075,12.4196,5.0,5.00901,6.0,12.0216,35.5892,14.7147,0.85
2,630271505,C_0,1.26142,5.28963,29.4536,9.81832,3.12361,0.5,0.5,3.0815,0.408651,0.241916,0.0,0.130699,"[{""amount"": 8.142013513513518, ""rate"": 0.023407254804442168}, {""amount"": 1.676308848285756, ""rate"": 0.023407254804442168}]","[""W_2937""]",0,14.7988,10.7583,0.0,0.408651,0.0,1.0,0.0,37.3858,12.6568,0.0827565
3,8376997,C_0,11.3585,5.28963,35.7785,14.7791,6.48248,3.0,2.41926,0.0,3.26422,0.364144,0.528436,0.183873,"[{""amount"": 7.734912837837842, ""rate"": 0.023407254804442168}, {""amount"": 1.5924934058714681, ""rate"": 0.023407254804442168}, {""amount"": 5.451649793275956, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1921"", ""W_1563"", ""W_1392"", ""W_2667"", ""W_577""]",0,14.6186,10.7568,0.0,3.26422,0.0,6.0,0.0,37.9026,12.655,0.662382
4,670459448,C_0,18.3535,5.34338,44.7131,14.0401,9.75122,3.0,3.0,0.251784,2.50375,0.345937,-0.992495,0.166287,"[{""amount"": 7.34816719594595, ""rate"": 0.023407254804442168}, {""amount"": 1.5128687355778947, ""rate"": 0.023407254804442168}, {""amount"": 5.179067303612158, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1921"", ""W_1563"", ""W_1392"", ""W_2667"", ""W_577""]",0,14.4384,9.88288,0.0,2.50375,0.0,6.0,0.0,38.4494,11.6269,0.514329
5,578297916,C_0,22.3521,5.34338,48.9938,13.3381,5.74027,3.0,2.27895,0.0,3.17698,0.32864,0.353961,0.148101,"[{""amount"": 6.980758836148652, ""rate"": 0.023407254804442168}, {""amount"": 1.437225298799, ""rate"": 0.023407254804442168}, {""amount"": 4.920113938431551, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1921"", ""W_1563"", ""W_1392"", ""W_2667"", ""W_577""]",0,14.2583,9.824,0.0,3.17698,0.0,6.0,0.0,38.8317,11.5576,0.66077
6,71114873,C_0,27.7279,5.04996,54.6032,12.6712,6.35014,2.5,2.5,8.63597,2.36876,0.312208,0.0,0.13536,"[{""amount"": 6.631720894341219, ""rate"": 0.023407254804442168}, {""amount"": 1.36536403385905, ""rate"": 0.023407254804442168}, {""amount"": 4.674108241509973, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1921"", ""W_1392"", ""W_2667"", ""W_577""]",0,14.1081,9.4165,0.0,2.36876,0.0,5.0,0.0,38.2766,11.0782,0.498895
7,223465792,C_0,16.0574,5.16259,67.995,22.2818,40.7433,4.5,4.5,4.14204,10.2593,0.549007,0.396,0.205931,"[{""amount"": 6.3001348496241585, ""rate"": 0.023407254804442168}, {""amount"": 1.2970958321660975, ""rate"": 0.023407254804442168}, {""amount"": 4.440402829434475, ""rate"": 0.023407254804442168}, {""amount"": 10.244204590316203, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1921"", ""W_1392"", ""W_2667"", ""W_577"", ""W_1116"", ""W_1398"", ""W_653"", ""W_1986""]",0,24.342,21.4289,26.8151,10.2593,10.5042,9.0,28.5112,66.0708,25.2105,0.498895
8,835236303,C_0,13.3561,5.47356,57.3318,32.4931,6.92198,8.0,2.92311,0.0,8.80376,0.800604,0.211804,0.215501,"[{""amount"": 5.98512810714295, ""rate"": 0.023407254804442168}, {""amount"": 1.2322410405577926, ""rate"": 0.023407254804442168}, {""amount"": 4.218382687962751, ""rate"": 0.023407254804442168}, {""amount"": 9.731994360800392, ""rate"": 0.023407254804442168}, {""amount"": 11.325335189094433, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1921"", ""W_1392"", ""W_2667"", ""W_577"", ""W_1116"", ""W_1398"", ""W_653"", ""W_1986"", ""W_2441"", ""W_2374"", ""W_1316"", ""W_2435"", ""W_787"", ""W_2782"", ""W_187""]",0,27.9481,23.6905,10.7274,8.80376,4.08656,16.0,10.9788,75.0844,27.8712,0.498895
9,97698128,C_0,17.4613,5.29462,62.4246,30.8684,5.82981,4.0,2.95705,0.0,3.51117,0.760574,0.0,0.199042,"[{""amount"": 5.6858717017858025, ""rate"": 0.023407254804442168}, {""amount"": 1.170628988529903, ""rate"": 0.023407254804442168}, {""amount"": 4.007463553564613, ""rate"": 0.023407254804442168}, {""amount"": 9.245394642760372, ""rate"": 0.023407254804442168}, {""amount"": 10.759068429639711, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1921"", ""W_1392"", ""W_1116"", ""W_2441"", ""W_2435"", ""W_2782"", ""W_187""]",0,27.7079,23.8573,0.0,3.51117,0.68059,8.0,1.83402,74.6657,28.0674,0.377273
10,283595139,C_0,24.8811,5.3072,71.2706,29.325,9.44759,3.5,3.5,1.19066,3.01246,0.722545,0.0,0.184977,"[{""amount"": 5.401578116696513, ""rate"": 0.023407254804442168}, {""amount"": 1.1120975391034078, ""rate"": 0.023407254804442168}, {""amount"": 3.8070903758863825, ""rate"": 0.023407254804442168}, {""amount"": 8.783124910622353, ""rate"": 0.023407254804442168}, {""amount"": 10.221115008157726, ""rate"": 0.023407254804442168}]","[""W_2937"", ""W_1921"", ""W_1392"", ""W_1116"", ""W_2435"", ""W_2782"", ""W_187""]",0,27.4977,17.9346,0.0,3.01246,0.0,7.0,0.0,73.825,21.0996,0.326493
