step_no,step_id,kf_id,liquidity,price,equity,debt,profit,production,sales,inventory,queue,expected_demand,intresses,loans,labour_demand,staff,first_step,lmbda,wage_bill
1,822212363,K_0,7.0,2.45669,7.0,0.0,-3.03,1.5,0.0,1.47,0.0,3.0,0.0,[],0.0,"[""W_1571"", ""W_2624"", ""W_2189""]",0,0.0,3.0,3.0
2,434648921,K_0,6.0,2.45669,6.0,0.0,-1.0394,0.5,0.0,1.9306,0.0,3.0,0.0,[],0.0,"[""W_2189""]",0,0.0,1.0,0.177
3,750179787,K_0,6.0,2.45669,6.0,0.0,-0.038612,0.0,0.0,1.89199,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
4,687857151,K_0,6.0,2.43483,6.0,0.0,-0.0378398,0.0,0.0,1.85415,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
5,204209074,K_0,6.0,2.35613,6.0,0.0,-0.037083,0.0,0.0,1.81707,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
6,166702444,K_0,6.0,2.19344,6.0,0.0,-0.0363413,0.0,0.0,1.78072,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
7,139201276,K_0,6.0,2.19344,6.0,0.0,-0.0356145,0.0,0.0,1.74511,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
8,11030193,K_0,6.0,2.07886,6.0,0.0,-0.0349022,0.0,0.0,1.71021,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
9,459447260,K_0,6.0,2.07886,6.0,0.0,-0.0342041,0.0,0.0,1.676,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
10,953138076,K_0,6.0,1.93851,6.0,0.0,-0.0335201,0.0,0.0,1.64248,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
11,212308692,K_0,6.0,1.93851,6.0,0.0,-0.0328497,0.0,0.0,1.60963,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
12,304857078,K_0,6.0,1.93851,6.0,0.0,-0.0321927,0.0,0.0,1.57744,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
13,985420557,K_0,6.0,1.93851,6.0,0.0,-0.0315488,0.0,0.0,1.54589,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
14,164379168,K_0,6.0,1.76184,6.0,0.0,-0.0309178,0.0,0.0,1.51497,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
15,981723251,K_0,6.0,1.76184,6.0,0.0,-0.0302995,0.0,0.0,1.48467,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
16,847472726,K_0,6.0,1.76184,6.0,0.0,-0.0296935,0.0,0.0,1.45498,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
17,496584907,K_0,6.0,1.76184,6.0,0.0,-0.0290996,0.0,0.0,1.42588,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
18,545354487,K_0,6.0,1.76184,6.0,0.0,-0.0285176,0.0,0.0,1.39736,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
19,459127485,K_0,6.0,1.76184,6.0,0.0,-0.0279473,0.0,0.0,1.36942,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
20,222929114,K_0,6.0,1.76184,6.0,0.0,-0.0273883,0.0,0.0,1.34203,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
21,723348399,K_0,6.0,1.76184,6.0,0.0,-0.0268406,0.0,0.0,1.31519,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
22,373510718,K_0,6.0,1.76184,6.0,0.0,-0.0263038,0.0,0.0,1.28888,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
23,81118502,K_0,6.0,1.76184,6.0,0.0,-0.0257777,0.0,0.0,1.26311,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
24,224459830,K_0,6.0,1.76184,6.0,0.0,-0.0252621,0.0,0.0,1.23784,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
25,182280493,K_0,6.0,1.76184,6.0,0.0,-0.0247569,0.0,0.0,1.21309,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
