step_no,run_id,w_m,c_m,cf_m,cf_d,kf_m,kf_d,equity
1,3kJuSc31qD09eLz,5153.909590005875,914.1204516887665,2731.970097541809,0.0,200.0,0.0,3000.0
2,3kJuSc31qD09eLz,3961.4831721782684,999.2954556941986,3938.5281252861023,235.34323120117188,330.4855670928955,0.0,3005.55
3,3kJuSc31qD09eLz,3487.6740453094244,897.1773011423647,4930.331384241581,827.175421141088,596.0605759620667,108.50364047288895,3024.44
4,3kJuSc31qD09eLz,3954.2265314608812,892.9028137214482,5239.621554968995,948.0982244759798,414.31309700012207,635.5076359510422,3082.54
5,3kJuSc31qD09eLz,3454.649269491434,903.0634185187519,5767.1097720861435,992.6806364506483,388.95450368337333,661.736650466919,3140.64
6,3kJuSc31qD09eLz,3102.2572632059455,879.1471195742488,6090.463332772255,1040.7937050685287,438.2530068103224,667.9403787255287,3198.61
7,3kJuSc31qD09eLz,2843.214384883642,811.578330501914,6369.273463234305,1053.1090360879898,429.572006335482,656.4665296375751,3255.94
8,3kJuSc31qD09eLz,2651.0930999536067,716.3227939717472,6609.778745532036,1052.7334116101265,394.8898813650012,594.8255441784859,3275.47
9,3kJuSc31qD09eLz,2440.714766743593,596.6326764565893,6871.2161070257425,1047.5939878821373,395.6044322345406,479.8969252407551,3223.32
10,3kJuSc31qD09eLz,2263.3447209745646,492.2640560492873,7113.3368418216705,1014.2232937663794,361.3887291997671,476.49846705794334,3260.39
11,3kJuSc31qD09eLz,2142.4478965336457,385.78918103827164,7285.2779501229525,1008.8266124278307,362.23461645655334,376.95832642912865,3210.04
12,3kJuSc31qD09eLz,2000.0462084477767,301.40584737062454,7481.66189468652,983.0820374935865,330.786450304091,371.0531676709652,3240.23
13,3kJuSc31qD09eLz,1940.0726743377745,220.0655763540417,7585.014354303479,938.3802177160978,328.6879353839904,366.8609065711498,3231.4
14,3kJuSc31qD09eLz,1827.6412228522822,155.9038188396953,7716.497244864702,799.7794500738382,311.95068844407797,296.85738545656204,3084.64
15,3kJuSc31qD09eLz,1730.9512712885626,107.3263201136142,7824.07513064146,782.343475356698,300.3818499520421,267.45669308304787,3087.07
16,3kJuSc31qD09eLz,1706.7565160051017,79.35813160054386,7828.468676537275,752.3211560100317,281.82293399004266,228.03732532262802,3083.95
17,3kJuSc31qD09eLz,1656.0796373076737,73.15884814225137,7842.273593902588,726.382809355855,274.9823647760786,167.32664686441422,3047.22
