step_no,unemployment_rate
1,0.5000
2,0.7370
3,0.9483
4,0.9700
5,0.9907
6,0.9917
7,0.9967
8,0.9973
9,0.9987
10,0.9980
11,0.9997
12,1.0000
13,0.9993
14,0.9997
15,1.0000
16,0.9997
17,1.0000
18,1.0000
19,0.9997
20,1.0000
21,1.0000
22,1.0000
23,1.0000
24,1.0000
25,0.9997
26,1.0000
27,1.0000
28,1.0000
29,0.9993
30,0.9990
31,1.0000
32,0.9997
33,0.9980
34,0.9997
35,0.9977
36,0.9983
37,0.9973
38,0.9977
39,0.9993
40,0.9993
41,0.9953
42,0.9953
43,0.9970
44,0.9963
45,0.9937
46,0.9957
47,0.9933
48,0.9950
49,0.9973
50,0.9880
51,0.9927
52,0.9930
53,0.9887
54,0.9913
55,0.9790
56,0.9870
57,0.9883
58,0.9720
59,0.9733
60,0.9780
61,0.9703
62,0.9897
63,0.9610
64,0.9720
65,0.9630
66,0.9583
67,0.9740
68,0.9737
69,0.9750
70,0.9670
71,0.9280
72,0.9727
73,0.9380
74,0.9640
75,0.8893
76,0.9440
77,0.9437
78,0.9547
79,0.8857
80,0.9697
81,0.8837
82,0.9773
83,0.8253
84,0.9797
85,0.7337
86,0.9780
87,0.7403
88,0.9810
89,0.6510
90,0.9847
